training size,learning rate,batch size,dropout rate,training time
0.2,1e-06,16.0,0.25,9.411123639903963
0.2,1e-06,32.0,0.25,3.884153911843896
0.2,1e-06,64.0,0.25,2.844190094154328
0.2,1e-06,80.0,0.25,2.73467546608299
0.2,1e-05,16.0,0.25,5.862764149904251
0.2,1e-05,32.0,0.25,3.5031654140911996
0.2,1e-05,80.0,0.25,2.78509781928733
0.2,0.0001,16.0,0.25,5.2455651527270675
0.2,0.0001,64.0,0.25,2.7023731847293675
0.2,0.0001,80.0,0.25,2.6699295481666923
0.2,0.001,16.0,0.25,5.43719126470387
0.2,0.001,32.0,0.25,3.7975042602047324
0.2,0.001,64.0,0.25,2.8134657773189247
0.2,1e-06,16.0,0.5,5.26857860898599
0.2,1e-06,32.0,0.5,3.473883360158652
0.2,1e-06,64.0,0.5,2.7601218870840967
0.2,1e-05,16.0,0.5,5.248930727131665
0.2,1e-05,32.0,0.5,3.667971347924322
0.2,1e-05,64.0,0.5,2.6931016789749265
0.2,1e-05,80.0,0.5,2.6610332899726927
0.2,0.0001,16.0,0.5,5.40205817297101
0.2,0.0001,32.0,0.5,3.5703415679745376
0.2,0.0001,64.0,0.5,2.7547195819206536
0.2,0.0001,80.0,0.5,2.6235566060058773
0.2,0.001,16.0,0.5,5.324156216811389
0.2,0.001,80.0,0.5,2.8324468210339546
0.2,0.01,32.0,0.5,3.7802563277073205
0.2,0.01,64.0,0.5,2.8019099100492895
0.2,1e-06,32.0,0.75,3.6974993948824704
0.2,1e-06,64.0,0.75,2.9052990120835602
0.2,1e-05,16.0,0.75,5.736428018659353
0.2,1e-05,32.0,0.75,3.7377151348628104
0.2,1e-05,64.0,0.75,2.764399044215679
0.2,1e-05,80.0,0.75,2.7231388287618756
0.2,0.0001,16.0,0.75,5.330544468946755
0.2,0.0001,32.0,0.75,3.6550656841136515
0.2,0.0001,64.0,0.75,2.705470309127122
0.2,0.0001,80.0,0.75,2.677400620188564
0.2,0.001,16.0,0.75,5.409159547183663
0.2,0.001,32.0,0.75,3.6285042641684413
0.2,0.001,64.0,0.75,2.8341819290071726
0.2,0.001,80.0,0.75,2.6481973892077804
0.2,0.01,32.0,0.75,3.4828655808232725
0.2,0.01,64.0,0.75,2.7697222088463604
0.2,1e-05,32.0,0.9,3.6455943640321493
0.2,1e-05,64.0,0.9,2.862552238162607
0.2,1e-05,80.0,0.9,2.6262437012046576
0.2,0.0001,16.0,0.9,5.2633473593741655
0.2,0.0001,32.0,0.9,3.5795317851006985
0.2,0.0001,80.0,0.9,2.7436401792801917
0.2,0.001,16.0,0.9,5.103608984965831
0.2,0.001,32.0,0.9,3.6271020169369876
0.2,0.001,80.0,0.9,2.622582341078669
0.2,0.01,32.0,0.9,3.399933987762779
0.4,1e-06,16.0,0.25,11.01973666343838
0.4,1e-06,32.0,0.25,7.038107292726636
0.4,1e-06,64.0,0.25,5.53959265910089
0.4,1e-06,80.0,0.25,5.408502055797726
0.4,1e-05,16.0,0.25,10.581262471154332
0.4,1e-05,32.0,0.25,6.941701331175864
0.4,1e-05,64.0,0.25,5.5489979442209005
0.4,1e-05,80.0,0.25,5.41518364707008
0.4,0.0001,16.0,0.25,10.345461141318083
0.4,0.0001,32.0,0.25,6.831984869204462
0.4,0.0001,64.0,0.25,5.684254145715386
0.4,0.0001,80.0,0.25,5.556581688113511
0.4,0.001,16.0,0.25,10.677363336086273
0.4,0.001,32.0,0.25,6.804481841158122
0.4,0.001,64.0,0.25,5.456961192656308
0.4,0.001,80.0,0.25,5.404404315166175
0.4,0.01,80.0,0.25,5.621075344737619
0.4,1e-06,16.0,0.5,11.36444979114458
0.4,1e-06,32.0,0.5,7.433614507783204
0.4,1e-06,64.0,0.5,5.684788340236992
0.4,1e-05,16.0,0.5,11.735284833237529
0.4,1e-05,32.0,0.5,7.276405392680317
0.4,1e-05,64.0,0.5,5.830581949092448
0.4,1e-05,80.0,0.5,5.790148458909243
0.4,0.0001,16.0,0.5,11.369497236330062
0.4,0.0001,32.0,0.5,7.159900279715657
0.4,0.0001,64.0,0.5,5.599003301933408
0.4,0.0001,80.0,0.5,5.55052675306797
0.4,0.001,16.0,0.5,11.68752153031528
0.4,0.001,32.0,0.5,7.181405274197459
0.4,0.001,64.0,0.5,5.425353846978396
0.4,0.001,80.0,0.5,5.325910613872111
0.4,0.01,32.0,0.5,7.002696607727557
0.4,0.01,64.0,0.5,5.515267656650394
0.4,0.01,80.0,0.5,5.408446860965341
0.4,1e-06,16.0,0.75,11.43755539925769
0.4,1e-06,80.0,0.75,5.675486464053392
0.4,1e-05,16.0,0.75,11.13620356330648
0.4,1e-05,32.0,0.75,7.135833112988621
0.4,1e-05,64.0,0.75,5.568503911141306
0.4,1e-05,80.0,0.75,5.713378680869937
0.4,0.0001,16.0,0.75,10.98938208911568
0.4,0.0001,32.0,0.75,8.011745964642614
0.4,0.0001,64.0,0.75,5.487190715037286
0.4,0.0001,80.0,0.75,5.525155252311379
0.4,0.001,16.0,0.75,10.833810298703611
0.4,0.001,32.0,0.75,6.885662800166756
0.4,0.001,80.0,0.75,5.479517148807645
0.4,0.01,16.0,0.75,11.487519936170429
0.4,0.01,32.0,0.75,7.40644966205582
0.4,1e-06,16.0,0.9,11.319139027968049
0.4,1e-06,32.0,0.9,7.262848722282797
0.4,1e-06,80.0,0.9,5.557672220747918
0.4,1e-05,16.0,0.9,11.236914185807109
0.4,1e-05,32.0,0.9,7.3958592102862895
0.4,0.0001,16.0,0.9,11.525518720038235
0.4,0.0001,32.0,0.9,7.252366087865084
0.4,0.0001,64.0,0.9,5.607156472746283
0.4,0.0001,80.0,0.9,5.688470689114183
0.4,0.001,16.0,0.9,11.397281513083726
0.4,0.001,32.0,0.9,7.4829388447105885
0.4,0.001,64.0,0.9,5.794027025811374
0.4,0.001,80.0,0.9,5.450595655012876
0.6,1e-06,16.0,0.25,17.76071660267189
0.6,1e-06,32.0,0.25,11.09764064103365
0.6,1e-06,64.0,0.25,8.463100418448448
0.6,1e-06,80.0,0.25,8.551134305074811
0.6,1e-05,16.0,0.25,17.099237317685038
0.6,1e-05,32.0,0.25,11.538399231154472
0.6,1e-05,64.0,0.25,8.612625720910728
0.6,1e-05,80.0,0.25,8.632843406870961
0.6,0.0001,16.0,0.25,17.05195052921772
0.6,0.0001,32.0,0.25,11.226121373008937
0.6,0.0001,64.0,0.25,8.835519640240818
0.6,0.0001,80.0,0.25,8.609684366732836
0.6,0.001,16.0,0.25,16.67278959415853
0.6,0.001,32.0,0.25,11.639038193039596
0.6,0.001,64.0,0.25,8.508870305959135
0.6,0.001,80.0,0.25,8.700339718721807
0.6,0.01,32.0,0.25,10.912165436893702
0.6,0.01,80.0,0.25,8.588340717367828
0.6,1e-06,16.0,0.5,16.96170107787475
0.6,1e-06,32.0,0.5,11.296941470354795
0.6,1e-06,80.0,0.5,8.54799407813698
0.6,1e-05,16.0,0.5,16.73084103409201
0.6,1e-05,32.0,0.5,10.840896174311638
0.6,1e-05,64.0,0.5,8.757694910746068
0.6,1e-05,80.0,0.5,8.704598288051784
0.6,0.0001,16.0,0.5,16.406350754201412
0.6,0.0001,32.0,0.5,11.248339782934636
0.6,0.0001,64.0,0.5,8.454364373814315
0.6,0.0001,80.0,0.5,8.351838128175586
0.6,0.001,16.0,0.5,17.85296949604526
0.6,0.001,64.0,0.5,8.579722768161446
0.6,0.001,80.0,0.5,8.530543452128768
0.6,0.01,16.0,0.5,17.427501974161714
0.6,0.01,32.0,0.5,11.611575560178608
0.6,0.01,64.0,0.5,8.945858876220882
0.6,1e-06,16.0,0.75,17.478434134740382
0.6,1e-05,16.0,0.75,17.088643913157284
0.6,1e-05,32.0,0.75,11.127477122936398
0.6,1e-05,64.0,0.75,8.56183420214802
0.6,1e-05,80.0,0.75,8.705954662058502
0.6,0.0001,16.0,0.75,17.063712399918586
0.6,0.0001,32.0,0.75,11.34832556033507
0.6,0.0001,64.0,0.75,8.653434779960662
0.6,0.0001,80.0,0.75,8.485900034196675
0.6,0.001,16.0,0.75,17.913080447353423
0.6,0.001,32.0,0.75,11.358864502981305
0.6,0.001,64.0,0.75,8.92607688670978
0.6,0.001,80.0,0.75,8.360314947087318
0.6,0.01,16.0,0.75,17.28694395115599
0.6,0.01,64.0,0.75,8.879585405811667
0.6,0.01,80.0,0.75,8.425407606177032
0.6,1e-06,32.0,0.9,11.375953121110797
0.6,1e-06,64.0,0.9,8.532602078747004
0.6,1e-05,16.0,0.9,17.04952365765348
0.6,1e-05,32.0,0.9,11.153048667125404
0.6,1e-05,64.0,0.9,8.806698246859014
0.6,1e-05,80.0,0.9,8.251178976148367
0.6,0.0001,16.0,0.9,18.120843261945993
0.6,0.0001,32.0,0.9,11.514195756986737
0.6,0.0001,64.0,0.9,8.972382694948465
0.6,0.0001,80.0,0.9,8.609766134992242
0.6,0.001,16.0,0.9,17.22536627901718
0.6,0.001,32.0,0.9,11.159862863831222
0.6,0.001,80.0,0.9,8.418700114358217
0.6,0.01,16.0,0.9,17.346694400999695
0.6,0.01,32.0,0.9,11.266068638768047
0.8,1e-06,16.0,0.25,26.371401062700897
0.8,1e-06,32.0,0.25,16.72351735411212
0.8,1e-06,64.0,0.25,12.212212339043617
0.8,1e-06,80.0,0.25,11.730209751985967
0.8,1e-05,16.0,0.25,25.832151013892144
0.8,1e-05,32.0,0.25,16.35903614992276
0.8,1e-05,64.0,0.25,11.80280728591606
0.8,1e-05,80.0,0.25,11.29957152204588
0.8,0.0001,16.0,0.25,25.56839675316587
0.8,0.0001,32.0,0.25,16.493086010217667
0.8,0.0001,64.0,0.25,12.077581787016243
0.8,0.0001,80.0,0.25,11.162197497207671
0.8,0.001,16.0,0.25,25.253849774133414
0.8,0.001,32.0,0.25,16.385256104171276
0.8,0.001,64.0,0.25,11.941742057912052
0.8,0.001,80.0,0.25,11.705231982748955
0.8,0.01,16.0,0.25,25.7268957211636
0.8,0.01,32.0,0.25,16.923611376900226
0.8,0.01,80.0,0.25,12.120683510322124
0.8,1e-06,16.0,0.5,25.960348817985505
0.8,1e-06,32.0,0.5,16.528366720769554
0.8,1e-06,80.0,0.5,11.646302514709532
0.8,1e-05,16.0,0.5,25.637056868057698
0.8,1e-05,32.0,0.5,16.920987237710506
0.8,1e-05,64.0,0.5,12.221584876999259
0.8,1e-05,80.0,0.5,11.778479332104325
0.8,0.0001,16.0,0.5,25.704775102902204
0.8,0.0001,32.0,0.5,16.76203401805833
0.8,0.0001,64.0,0.5,12.132957530207932
0.8,0.0001,80.0,0.5,11.478213301859796
0.8,0.001,16.0,0.5,22.62615188676864
0.8,0.001,32.0,0.5,14.733984800055623
0.8,0.001,64.0,0.5,11.283383895177394
0.8,0.001,80.0,0.5,10.753032886888832
0.8,0.01,32.0,0.5,14.358494130894542
0.8,0.01,80.0,0.5,10.781833644025028
0.8,1e-06,16.0,0.75,21.02662314893678
0.8,1e-06,32.0,0.75,14.299423743970692
0.8,1e-06,64.0,0.75,11.491090147290379
0.8,1e-06,80.0,0.75,10.885579064954072
0.8,1e-05,16.0,0.75,21.876501082908362
0.8,1e-05,32.0,0.75,14.583717301022261
0.8,1e-05,64.0,0.75,11.94466661522165
0.8,1e-05,80.0,0.75,11.653544433880597
0.8,0.0001,16.0,0.75,25.735491595696658
0.8,0.0001,32.0,0.75,15.198387084994465
0.8,0.0001,64.0,0.75,12.312402974814177
0.8,0.0001,80.0,0.75,11.758928982075304
0.8,0.001,16.0,0.75,25.676636187825352
0.8,0.001,32.0,0.75,15.864208205137402
0.8,0.001,64.0,0.75,11.99652236700058
0.8,0.001,80.0,0.75,11.59123945236206
0.8,0.01,16.0,0.75,25.59102201880887
0.8,0.01,64.0,0.75,11.576867432333529
0.8,1e-06,16.0,0.9,23.84359438996762
0.8,1e-06,32.0,0.9,15.417008346877992
0.8,1e-06,64.0,0.9,11.415211535058916
0.8,1e-06,80.0,0.9,11.094095932785422
0.8,1e-05,16.0,0.9,23.143356003798544
0.8,1e-05,32.0,0.9,15.204137641005218
0.8,1e-05,64.0,0.9,11.917616174090654
0.8,1e-05,80.0,0.9,11.91759403469041
0.8,0.0001,16.0,0.9,24.924072018824518
0.8,0.0001,32.0,0.9,16.0495513449423
0.8,0.0001,64.0,0.9,12.266412451397628
0.8,0.0001,80.0,0.9,11.57871370902285
0.8,0.001,16.0,0.9,24.97668456006795
0.8,0.001,32.0,0.9,15.968580150976777
0.8,0.001,64.0,0.9,11.876245811581612
0.8,0.001,80.0,0.9,12.003690640907735
0.8,0.01,16.0,0.9,24.887807654216886
0.8,0.01,64.0,0.9,11.914051472209394
