epoch number,learning rate,batch size,dropout rate,training time
1.0,1e-06,16.0,0.25,26.371401062700897
5.0,1e-06,16.0,0.25,176.73863952886313
10.0,1e-06,16.0,0.25,352.8234330830164
15.0,1e-06,16.0,0.25,528.8704185248353
1.0,1e-06,32.0,0.25,16.72351735411212
5.0,1e-06,32.0,0.25,128.42751727206632
10.0,1e-06,32.0,0.25,253.1397055061534
15.0,1e-06,32.0,0.25,379.5417936537415
1.0,1e-06,64.0,0.25,12.212212339043617
5.0,1e-06,64.0,0.25,104.78741339594126
10.0,1e-06,64.0,0.25,207.7076820838265
15.0,1e-06,64.0,0.25,309.6819731569849
1.0,1e-06,80.0,0.25,11.730209751985967
5.0,1e-06,80.0,0.25,102.92223177710548
10.0,1e-06,80.0,0.25,202.6703668809496
15.0,1e-06,80.0,0.25,303.242023228202
1.0,1e-05,16.0,0.25,25.832151013892144
5.0,1e-05,16.0,0.25,176.51520115695894
10.0,1e-05,16.0,0.25,352.9390596137382
15.0,1e-05,16.0,0.25,527.2248608977534
1.0,1e-05,32.0,0.25,16.35903614992276
5.0,1e-05,32.0,0.25,124.42892532795668
10.0,1e-05,32.0,0.25,247.04264574497938
15.0,1e-05,32.0,0.25,370.1040537827648
1.0,1e-05,64.0,0.25,11.80280728591606
5.0,1e-05,64.0,0.25,96.14454233227298
10.0,1e-05,64.0,0.25,190.10640898393467
15.0,1e-05,64.0,0.25,282.3123145098798
1.0,1e-05,80.0,0.25,11.29957152204588
5.0,1e-05,80.0,0.25,92.53738806862384
10.0,1e-05,80.0,0.25,183.35020019859076
15.0,1e-05,80.0,0.25,274.4734035618603
1.0,0.0001,16.0,0.25,25.56839675316587
5.0,0.0001,16.0,0.25,174.12450758181512
10.0,0.0001,16.0,0.25,346.820920847822
15.0,0.0001,16.0,0.25,518.5869893631898
1.0,0.0001,32.0,0.25,16.493086010217667
5.0,0.0001,32.0,0.25,124.05991593422368
10.0,0.0001,32.0,0.25,246.31596194813028
15.0,0.0001,32.0,0.25,369.3518352629617
1.0,0.0001,64.0,0.25,12.077581787016243
5.0,0.0001,64.0,0.25,103.0434320489876
10.0,0.0001,64.0,0.25,204.93751397868618
15.0,0.0001,64.0,0.25,306.2473138156347
1.0,0.0001,80.0,0.25,11.162197497207671
