training size,epoch number,learning rate,weight decay,training time
0.2,15.0,1e-06,0.0,169.52124117081985
0.2,5.0,1e-06,0.001,56.48399423575029
0.2,10.0,1e-06,0.001,113.11641854373738
0.2,15.0,1e-06,0.001,169.64226085087284
0.2,5.0,1e-06,0.01,56.40897963196039
0.2,10.0,1e-06,0.01,112.96074733696878
0.2,15.0,1e-06,0.01,169.6517604063265
0.2,5.0,1e-06,0.1,56.34438493195921
0.2,10.0,1e-06,0.1,113.25670743593946
0.2,15.0,1e-06,0.1,170.06643277220428
0.2,1.0,1e-05,0.0,3.6455943640321493
0.2,5.0,1e-05,0.0,56.97838905407116
0.2,10.0,1e-05,0.0,113.32158231642097
0.2,15.0,1e-05,0.0,169.20349444821477
0.2,1.0,1e-05,0.001,3.624886628240347
0.2,5.0,1e-05,0.001,56.856382039841264
0.2,10.0,1e-05,0.001,113.36586545081809
0.2,15.0,1e-05,0.001,169.5276466300711
0.2,1.0,1e-05,0.01,3.6249875728972256
0.2,5.0,1e-05,0.01,56.95153333386406
0.2,10.0,1e-05,0.01,113.42646175296977
0.2,15.0,1e-05,0.01,169.31706773815677
0.2,1.0,1e-05,0.1,3.6216992218978703
0.2,5.0,1e-05,0.1,56.79865991603583
0.2,10.0,1e-05,0.1,113.34746604785323
0.2,15.0,1e-05,0.1,169.5549945626408
0.2,1.0,0.0001,0.0,3.5795317851006985
0.2,5.0,0.0001,0.0,56.2418130999431
0.2,10.0,0.0001,0.0,111.36286022188142
0.2,15.0,0.0001,0.0,166.06187067599967
0.2,1.0,0.0001,0.001,3.557160219643265
0.2,5.0,0.0001,0.001,56.02589486865327
0.2,10.0,0.0001,0.001,111.02721922658384
0.2,15.0,0.0001,0.001,166.18179713189602
0.2,1.0,0.0001,0.01,3.544898862950504
0.2,5.0,0.0001,0.01,55.619499169290066
0.2,10.0,0.0001,0.01,110.53726927889511
0.2,15.0,0.0001,0.01,165.91944018099457
0.2,1.0,0.0001,0.1,3.504893699195236
0.2,5.0,0.0001,0.1,55.53009667014703
0.2,10.0,0.0001,0.1,110.18791739223525
0.2,15.0,0.0001,0.1,165.90975663717836
0.2,1.0,0.001,0.0,3.6271020169369876
0.2,5.0,0.001,0.0,55.827056783717126
0.2,10.0,0.001,0.0,111.14800372999161
0.2,15.0,0.001,0.0,166.4991668188013
0.2,1.0,0.001,0.001,3.4683266798965633
0.2,5.0,0.001,0.001,55.94105844805017
0.2,10.0,0.001,0.001,111.48976820381358
0.2,15.0,0.001,0.001,166.79981029592454
0.2,1.0,0.001,0.01,3.5594447632320225
0.2,5.0,0.001,0.01,55.871425240300596
0.2,10.0,0.001,0.01,111.03428047522902
0.2,15.0,0.001,0.01,166.07253674510866
0.2,1.0,0.001,0.1,3.5940441638231277
0.2,15.0,0.001,0.1,166.0690344311297
0.2,1.0,0.01,0.0,3.399933987762779
0.2,5.0,0.01,0.0,55.19706374499947
0.2,10.0,0.01,0.0,110.44164636172354
0.2,15.0,0.01,0.0,165.88375390786678
0.2,10.0,0.01,0.001,110.63868315611035
0.2,15.0,0.01,0.001,166.05641101719812
0.2,15.0,0.01,0.01,165.82253764476627
0.4,1.0,1e-06,0.0,7.262848722282797
0.4,5.0,1e-06,0.0,75.77308143489063
0.4,10.0,1e-06,0.0,151.07155465288088
0.4,15.0,1e-06,0.0,226.27999951690435
0.4,5.0,1e-06,0.001,76.70916706183925
0.4,10.0,1e-06,0.001,152.64869397506118
0.4,15.0,1e-06,0.001,228.48106175102293
0.4,1.0,1e-06,0.01,7.06402289820835
0.4,5.0,1e-06,0.01,76.14496582187712
0.4,10.0,1e-06,0.01,151.25578744104132
0.4,15.0,1e-06,0.01,226.770158640109
0.4,5.0,1e-06,0.1,76.87275468092412
0.4,10.0,1e-06,0.1,152.5329459211789
0.4,15.0,1e-06,0.1,228.30056833522394
0.4,1.0,1e-05,0.0,7.3958592102862895
0.4,5.0,1e-05,0.0,76.76859712135047
0.4,10.0,1e-05,0.0,152.71757041942328
0.4,15.0,1e-05,0.0,228.08520307438448
0.4,1.0,1e-05,0.001,7.340669154189527
0.4,5.0,1e-05,0.001,76.24159645941108
0.4,10.0,1e-05,0.001,152.30732113914564
0.4,15.0,1e-05,0.001,228.58475323626772
0.4,1.0,1e-05,0.01,7.607961675617844
0.4,5.0,1e-05,0.01,76.80678997887298
0.4,10.0,1e-05,0.01,152.56015841290355
0.4,15.0,1e-05,0.01,228.89156377594918
0.4,1.0,1e-05,0.1,7.296012269333005
0.4,5.0,1e-05,0.1,76.18790630018339
0.4,10.0,1e-05,0.1,152.2329870662652
0.4,15.0,1e-05,0.1,228.3297776230611
0.4,1.0,0.0001,0.0,7.252366087865084
0.4,5.0,0.0001,0.0,75.58731512585655
0.4,10.0,0.0001,0.0,150.71737658977509
0.4,15.0,0.0001,0.0,226.38183224573731
0.4,1.0,0.0001,0.001,7.5273712780326605
0.4,5.0,0.0001,0.001,76.75300478143618
0.4,10.0,0.0001,0.001,152.42597797513008
0.4,15.0,0.0001,0.001,228.32417093310505
0.4,1.0,0.0001,0.01,7.2349475640803576
0.4,5.0,0.0001,0.01,75.83181837527081
0.4,10.0,0.0001,0.01,151.31583665916696
0.4,15.0,0.0001,0.01,227.1307679200545
0.4,1.0,0.0001,0.1,7.690580989699811
0.4,5.0,0.0001,0.1,77.15196822071448
0.4,10.0,0.0001,0.1,152.7405981728807
0.4,15.0,0.0001,0.1,228.25922327768058
0.4,1.0,0.001,0.0,7.4829388447105885
0.4,5.0,0.001,0.0,76.53880951693282
0.4,10.0,0.001,0.0,152.26374346669763
0.4,15.0,0.001,0.0,227.6379670756869
0.4,1.0,0.001,0.001,7.254629123955965
0.4,5.0,0.001,0.001,76.26137926988304
0.4,10.0,0.001,0.001,151.98147286381572
0.4,15.0,0.001,0.001,227.46687642205507
