training size,batch size,dropout rate,weight decay,training time
0.2,16.0,0.25,0.0,5.43719126470387
0.2,16.0,0.25,0.001,5.368169586639851
0.2,16.0,0.25,0.1,5.303792743943632
0.2,32.0,0.25,0.0,3.7975042602047324
0.2,32.0,0.25,0.001,3.6155445827171206
0.2,32.0,0.25,0.1,3.582805739250034
0.2,64.0,0.25,0.0,2.8134657773189247
0.2,64.0,0.25,0.001,2.7724476479925215
0.2,80.0,0.25,0.001,2.6377393887378275
0.2,80.0,0.25,0.01,2.6621701237745583
0.2,16.0,0.5,0.0,5.324156216811389
0.2,16.0,0.5,0.001,5.35535749187693
0.2,16.0,0.5,0.01,5.370055501814932
0.2,32.0,0.5,0.001,3.6143517522141337
0.2,32.0,0.5,0.01,3.770957955159247
0.2,64.0,0.5,0.001,3.0045251911506057
0.2,64.0,0.5,0.1,2.9393044752068818
0.2,80.0,0.5,0.0,2.8324468210339546
0.2,80.0,0.5,0.001,2.8111560330726206
0.2,80.0,0.5,0.01,2.8080216660164297
0.2,16.0,0.75,0.0,5.409159547183663
0.2,16.0,0.75,0.001,5.349137994926423
0.2,16.0,0.75,0.01,5.326049535069615
0.2,32.0,0.75,0.0,3.6285042641684413
0.2,32.0,0.75,0.001,3.625230077188462
0.2,32.0,0.75,0.01,3.604510346893221
0.2,32.0,0.75,0.1,3.596020611934364
0.2,64.0,0.75,0.0,2.8341819290071726
0.2,64.0,0.75,0.001,2.7895702039822936
0.2,80.0,0.75,0.0,2.6481973892077804
0.2,80.0,0.75,0.001,2.6292547308839858
0.2,80.0,0.75,0.01,2.6468389411456883
0.2,16.0,0.9,0.0,5.103608984965831
0.2,32.0,0.9,0.0,3.6271020169369876
0.2,32.0,0.9,0.001,3.4683266798965633
0.2,32.0,0.9,0.01,3.5594447632320225
0.2,32.0,0.9,0.1,3.5940441638231277
0.2,64.0,0.9,0.01,2.7077467353083193
0.2,80.0,0.9,0.0,2.622582341078669
0.2,80.0,0.9,0.01,2.7531885099597275
0.2,80.0,0.9,0.1,2.769798638764769
0.4,16.0,0.25,0.0,10.677363336086273
0.4,16.0,0.25,0.001,10.832588753663003
0.4,32.0,0.25,0.0,6.804481841158122
0.4,32.0,0.25,0.001,6.943703765980899
0.4,32.0,0.25,0.01,7.165368478279561
0.4,64.0,0.25,0.0,5.456961192656308
0.4,64.0,0.25,0.001,5.709821382071823
0.4,80.0,0.25,0.0,5.404404315166175
0.4,80.0,0.25,0.001,5.543944471981376
0.4,80.0,0.25,0.01,5.3245461829937994
0.4,80.0,0.25,0.1,5.44660100992769
0.4,16.0,0.5,0.0,11.68752153031528
0.4,16.0,0.5,0.001,11.371384429745376
0.4,16.0,0.5,0.01,12.000138012226671
0.4,32.0,0.5,0.0,7.181405274197459
0.4,32.0,0.5,0.001,6.841875265352428
0.4,32.0,0.5,0.1,7.213298401795328
0.4,64.0,0.5,0.0,5.425353846978396
0.4,80.0,0.5,0.0,5.325910613872111
0.4,80.0,0.5,0.001,5.505385302007198
0.4,16.0,0.75,0.0,10.833810298703611
0.4,16.0,0.75,0.001,11.05424395436421
0.4,32.0,0.75,0.0,6.885662800166756
0.4,32.0,0.75,0.001,7.112479118164629
0.4,32.0,0.75,0.01,7.108362713828683
0.4,64.0,0.75,0.001,5.654360251035541
0.4,80.0,0.75,0.0,5.479517148807645
0.4,80.0,0.75,0.001,5.697536150924861
0.4,80.0,0.75,0.01,5.5455513200722635
0.4,16.0,0.9,0.0,11.397281513083726
0.4,16.0,0.9,0.001,11.363536980934441
0.4,16.0,0.9,0.01,11.584394191391766
0.4,32.0,0.9,0.0,7.4829388447105885
0.4,32.0,0.9,0.001,7.254629123955965
0.4,32.0,0.9,0.01,7.523256511893123
0.4,64.0,0.9,0.0,5.794027025811374
0.4,64.0,0.9,0.001,5.832537814043462
0.4,64.0,0.9,0.01,5.602009783033282
0.4,80.0,0.9,0.0,5.450595655012876
0.4,80.0,0.9,0.001,5.5753638399764895
0.4,80.0,0.9,0.01,5.5581216514110565
0.6,16.0,0.25,0.0,16.67278959415853
0.6,16.0,0.25,0.001,17.144892308861017
0.6,16.0,0.25,0.01,17.805707129184157
0.6,32.0,0.25,0.0,11.639038193039596
0.6,32.0,0.25,0.001,11.301390612032264
0.6,64.0,0.25,0.0,8.508870305959135
0.6,64.0,0.25,0.01,8.638169676065445
0.6,64.0,0.25,0.1,8.887412656098604
0.6,80.0,0.25,0.0,8.700339718721807
0.6,80.0,0.25,0.001,9.053487332072109
0.6,16.0,0.5,0.0,17.85296949604526
0.6,16.0,0.5,0.001,17.888457401655614
0.6,16.0,0.5,0.01,18.046054560225457
