training size,epoch number,batch size,weight decay,training time
0.2,1.0,16.0,0.0,5.103608984965831
0.2,5.0,16.0,0.0,65.61700729373842
0.2,10.0,16.0,0.0,130.99730481673032
0.2,15.0,16.0,0.0,197.02247292082757
0.2,5.0,16.0,0.001,66.2255860986188
0.2,10.0,16.0,0.001,132.04935935791582
0.2,15.0,16.0,0.001,198.00673795491457
0.2,5.0,16.0,0.01,66.49985266430303
0.2,10.0,16.0,0.01,132.49887080024928
0.2,15.0,16.0,0.01,198.11792963044718
0.2,5.0,16.0,0.1,66.62921132799238
0.2,10.0,16.0,0.1,132.51299128495157
0.2,1.0,32.0,0.0,3.6271020169369876
0.2,5.0,32.0,0.0,55.827056783717126
0.2,10.0,32.0,0.0,111.14800372999161
0.2,15.0,32.0,0.0,166.4991668188013
0.2,1.0,32.0,0.001,3.4683266798965633
0.2,5.0,32.0,0.001,55.94105844805017
0.2,10.0,32.0,0.001,111.48976820381358
0.2,15.0,32.0,0.001,166.79981029592454
0.2,1.0,32.0,0.01,3.5594447632320225
0.2,5.0,32.0,0.01,55.871425240300596
0.2,10.0,32.0,0.01,111.03428047522902
0.2,15.0,32.0,0.01,166.07253674510866
0.2,1.0,32.0,0.1,3.5940441638231277
0.2,15.0,32.0,0.1,166.0690344311297
0.2,5.0,64.0,0.0,51.46226915391162
0.2,10.0,64.0,0.0,102.37918909499422
0.2,15.0,64.0,0.0,153.4540647789836
0.2,5.0,64.0,0.001,51.16854135785252
0.2,10.0,64.0,0.001,101.87181576201692
0.2,15.0,64.0,0.001,153.22232821816579
0.2,1.0,64.0,0.01,2.7077467353083193
0.2,5.0,64.0,0.01,51.04825996235013
0.2,10.0,64.0,0.01,102.0608548601158
0.2,15.0,64.0,0.01,153.24404690926895
0.2,5.0,64.0,0.1,50.77370093157515
0.2,15.0,64.0,0.1,153.52943106601015
0.2,1.0,80.0,0.0,2.622582341078669
0.2,5.0,80.0,0.0,50.34245952498168
0.2,10.0,80.0,0.0,100.96046494087204
0.2,15.0,80.0,0.0,151.38042169297114
0.2,5.0,80.0,0.001,51.34385124919936
0.2,10.0,80.0,0.001,101.85374554619193
0.2,15.0,80.0,0.001,152.3708349862136
0.2,1.0,80.0,0.01,2.7531885099597275
0.2,10.0,80.0,0.01,101.49988777888939
0.2,15.0,80.0,0.01,152.05679675657302
0.2,1.0,80.0,0.1,2.769798638764769
0.2,5.0,80.0,0.1,51.05822100257501
0.2,10.0,80.0,0.1,101.70558596402407
0.4,1.0,16.0,0.0,11.397281513083726
0.4,5.0,16.0,0.0,97.6086057247594
0.4,10.0,16.0,0.0,194.27613919088617
0.4,15.0,16.0,0.0,291.1648539449088
0.4,1.0,16.0,0.001,11.363536980934441
0.4,5.0,16.0,0.001,98.07351113809273
0.4,10.0,16.0,0.001,195.99449342302978
0.4,15.0,16.0,0.001,293.57594443578273
0.4,1.0,16.0,0.01,11.584394191391766
0.4,5.0,16.0,0.01,98.4455957794562
0.4,10.0,16.0,0.01,196.37329446524382
0.4,15.0,16.0,0.01,294.1366475773975
0.4,5.0,16.0,0.1,98.5036253281869
0.4,10.0,16.0,0.1,196.18205353012308
0.4,15.0,16.0,0.1,293.7191879269667
0.4,1.0,32.0,0.0,7.4829388447105885
0.4,5.0,32.0,0.0,76.53880951693282
0.4,10.0,32.0,0.0,152.26374346669763
0.4,15.0,32.0,0.0,227.6379670756869
0.4,1.0,32.0,0.001,7.254629123955965
0.4,5.0,32.0,0.001,76.26137926988304
0.4,10.0,32.0,0.001,151.98147286381572
0.4,15.0,32.0,0.001,227.46687642205507
0.4,1.0,32.0,0.01,7.523256511893123
0.4,5.0,32.0,0.01,76.47807793179527
0.4,10.0,32.0,0.01,151.77903343969956
0.4,15.0,32.0,0.01,227.6502033318393
0.4,5.0,32.0,0.1,75.53977662092075
0.4,15.0,32.0,0.1,227.22885202988982
0.4,1.0,64.0,0.0,5.794027025811374
0.4,5.0,64.0,0.0,67.39412686508149
0.4,10.0,64.0,0.0,133.9251909130253
0.4,15.0,64.0,0.0,200.45606344006956
0.4,1.0,64.0,0.001,5.832537814043462
0.4,5.0,64.0,0.001,67.42330687213689
0.4,10.0,64.0,0.001,134.4244338851422
0.4,15.0,64.0,0.001,201.12471666326746
0.4,1.0,64.0,0.01,5.602009783033282
0.4,15.0,64.0,0.01,200.4489511162974
0.4,10.0,64.0,0.1,134.19088279409334
0.4,15.0,64.0,0.1,200.96891414327547
0.4,1.0,80.0,0.0,5.450595655012876
0.4,5.0,80.0,0.0,65.82068841019645
0.4,10.0,80.0,0.0,131.83692238433287
0.4,15.0,80.0,0.0,197.98795751295984
0.4,1.0,80.0,0.001,5.5753638399764895
0.4,5.0,80.0,0.001,66.98531279619783
0.4,10.0,80.0,0.001,133.18545692693442
0.4,15.0,80.0,0.001,199.04437521705404
0.4,1.0,80.0,0.01,5.5581216514110565
0.4,5.0,80.0,0.1,66.70040065422654
0.4,15.0,80.0,0.1,197.97854247596115
0.6,1.0,16.0,0.0,17.22536627901718
0.6,5.0,16.0,0.0,125.93197216885164
0.6,10.0,16.0,0.0,251.91927363025025
0.6,15.0,16.0,0.0,377.37448499305174
0.6,5.0,16.0,0.001,128.0973225920461
0.6,10.0,16.0,0.001,254.5666787661612
0.6,15.0,16.0,0.001,380.90247908979654
0.6,1.0,16.0,0.01,17.46915000071749
0.6,5.0,16.0,0.01,127.970289317891
0.6,10.0,16.0,0.01,254.4414233500138
0.6,1.0,16.0,0.1,17.421588725876063
0.6,5.0,16.0,0.1,128.30179643211886
0.6,10.0,16.0,0.1,254.52832649182528
0.6,1.0,32.0,0.0,11.159862863831222
0.6,5.0,32.0,0.0,94.36586049571633
0.6,10.0,32.0,0.0,188.31469071283937
0.6,15.0,32.0,0.0,282.1297831698321
0.6,1.0,32.0,0.001,11.072781986091286
0.6,5.0,32.0,0.001,94.88266829121858
0.6,10.0,32.0,0.001,188.9686937551014
0.6,15.0,32.0,0.001,282.80959861911833
0.6,1.0,32.0,0.01,11.242356427013874
0.6,5.0,32.0,0.01,95.25920232385397
0.6,10.0,32.0,0.01,189.65527743287385
0.6,1.0,32.0,0.1,11.01285949908197
0.6,5.0,32.0,0.1,94.71079635433853
0.6,10.0,32.0,0.1,189.75278009613976
0.6,15.0,32.0,0.1,284.47366114519536
0.6,5.0,64.0,0.0,81.10440625529736
0.6,10.0,64.0,0.0,161.20516113517806
0.6,15.0,64.0,0.0,241.65327665628865
0.6,1.0,64.0,0.001,8.536065433174372
0.6,5.0,64.0,0.001,80.87449378008023
0.6,10.0,64.0,0.001,161.48333785217255
0.6,15.0,64.0,0.001,241.93518591020256
0.6,5.0,64.0,0.01,81.35914904391393
0.6,10.0,64.0,0.01,161.40819498803467
0.6,15.0,64.0,0.01,242.0793145368807
0.6,5.0,64.0,0.1,81.78712648013607
0.6,10.0,64.0,0.1,162.0759536032565
0.6,1.0,80.0,0.0,8.418700114358217
0.6,5.0,80.0,0.0,79.9855385213159
0.6,10.0,80.0,0.0,158.85643637832254
0.6,15.0,80.0,0.0,237.66852916916832
0.6,1.0,80.0,0.001,8.503449374809861
0.6,5.0,80.0,0.001,80.0477688680403
0.6,10.0,80.0,0.001,159.02549905562773
0.6,15.0,80.0,0.001,238.2431733929552
0.6,1.0,80.0,0.01,8.299798334017396
0.6,10.0,80.0,0.01,158.63280952116475
0.6,1.0,80.0,0.1,8.29318607924506
0.6,10.0,80.0,0.1,158.34513223404065
0.8,1.0,16.0,0.0,24.97668456006795
0.8,5.0,16.0,0.0,170.07359306514263
0.8,10.0,16.0,0.0,339.51895883725956
0.8,15.0,16.0,0.0,508.95636075921357
0.8,1.0,16.0,0.001,25.565598336979747
0.8,10.0,16.0,0.001,342.7418758152053
0.8,15.0,16.0,0.001,513.1896960609592
0.8,1.0,16.0,0.01,25.682439936324954
0.8,5.0,16.0,0.01,170.76834400603548
0.8,10.0,16.0,0.01,340.45316669810563
0.8,15.0,16.0,0.01,509.6688392222859
0.8,5.0,16.0,0.1,170.50803165510297
0.8,10.0,16.0,0.1,340.53576156590134
0.8,15.0,16.0,0.1,510.15253210114315
0.8,1.0,32.0,0.0,15.968580150976777
0.8,5.0,32.0,0.0,121.77346367109567
0.8,10.0,32.0,0.0,241.43162061972544
