learning rate,batch size,dropout rate,weight decay,training time
1e-06,16.0,0.25,0.0,26.371401062700897
1e-06,16.0,0.25,0.001,26.351543301716447
1e-06,16.0,0.25,0.01,26.487209951039404
1e-06,16.0,0.25,0.1,26.47259829984978
1e-06,32.0,0.25,0.0,16.72351735411212
1e-06,32.0,0.25,0.001,16.792166483122855
1e-06,32.0,0.25,0.01,16.855124596040696
1e-06,32.0,0.25,0.1,16.42764319293201
1e-06,64.0,0.25,0.0,12.212212339043617
1e-06,64.0,0.25,0.001,12.049644926097244
1e-06,64.0,0.25,0.01,11.909638808574528
1e-06,64.0,0.25,0.1,12.388811487238854
1e-06,80.0,0.25,0.0,11.730209751985967
1e-06,80.0,0.25,0.001,12.003953822888434
1e-06,80.0,0.25,0.01,11.85030414070934
1e-06,80.0,0.25,0.1,11.9819715754129
1e-05,16.0,0.25,0.0,25.832151013892144
1e-05,16.0,0.25,0.001,26.101147735957056
1e-05,16.0,0.25,0.01,26.193688679020852
1e-05,16.0,0.25,0.1,25.985079857055098
1e-05,32.0,0.25,0.0,16.35903614992276
1e-05,32.0,0.25,0.001,16.233202951028943
1e-05,32.0,0.25,0.01,16.477149988990277
1e-05,32.0,0.25,0.1,16.09354637004435
1e-05,64.0,0.25,0.0,11.80280728591606
1e-05,64.0,0.25,0.001,11.484020083211362
1e-05,64.0,0.25,0.01,11.081892169080675
1e-05,64.0,0.25,0.1,11.460482681170106
1e-05,80.0,0.25,0.0,11.29957152204588
1e-05,80.0,0.25,0.001,11.584888170938939
1e-05,80.0,0.25,0.01,11.406110458076
1e-05,80.0,0.25,0.1,12.298132805153728
0.0001,16.0,0.25,0.0,25.56839675316587
0.0001,16.0,0.25,0.001,26.13546150783077
0.0001,16.0,0.25,0.01,26.05786988278851
0.0001,16.0,0.25,0.1,25.97898427816108
0.0001,32.0,0.25,0.0,16.493086010217667
0.0001,32.0,0.25,0.001,16.31031801365316
0.0001,32.0,0.25,0.01,16.27436862466857
0.0001,32.0,0.25,0.1,16.017287734895945
0.0001,64.0,0.25,0.0,12.077581787016243
0.0001,64.0,0.25,0.001,12.419192569330335
0.0001,64.0,0.25,0.01,11.98105191718787
0.0001,64.0,0.25,0.1,12.515867719892412
0.0001,80.0,0.25,0.0,11.162197497207671
0.0001,80.0,0.25,0.001,12.204013002105057
0.0001,80.0,0.25,0.01,11.606623667292297
