epoch number,batch size,dropout rate,weight decay,training time
1.0,16.0,0.25,0.0,25.253849774133414
5.0,16.0,0.25,0.0,171.01994515117258
10.0,16.0,0.25,0.0,341.68014775495976
15.0,16.0,0.25,0.0,512.3789457147941
1.0,16.0,0.25,0.001,25.953202851116657
5.0,16.0,0.25,0.001,173.23183625610545
10.0,16.0,0.25,0.001,345.382731617894
15.0,16.0,0.25,0.001,517.4067835398018
1.0,16.0,0.25,0.01,25.96693661995232
5.0,16.0,0.25,0.01,173.6591773009859
10.0,16.0,0.25,0.01,344.86299761291593
15.0,16.0,0.25,0.01,516.8620760217309
1.0,16.0,0.25,0.1,25.77608618279919
10.0,16.0,0.25,0.1,345.3956405799836
15.0,16.0,0.25,0.1,518.1858250070363
1.0,32.0,0.25,0.0,16.385256104171276
5.0,32.0,0.25,0.0,122.82057186495513
10.0,32.0,0.25,0.0,244.5556056429632
15.0,32.0,0.25,0.0,366.45560131780803
1.0,32.0,0.25,0.001,16.175427093170583
5.0,32.0,0.25,0.001,122.68604240519926
10.0,32.0,0.25,0.001,244.04907805332914
15.0,32.0,0.25,0.001,366.2806447362527
1.0,32.0,0.25,0.01,16.200745474081486
5.0,32.0,0.25,0.01,123.52542807674035
10.0,32.0,0.25,0.01,245.19185537099838
15.0,32.0,0.25,0.01,366.5783660998568
5.0,32.0,0.25,0.1,122.56621519615874
15.0,32.0,0.25,0.1,366.0034992368892
1.0,64.0,0.25,0.0,11.941742057912052
5.0,64.0,0.25,0.0,102.28649927210063
10.0,64.0,0.25,0.0,203.09080706676468
15.0,64.0,0.25,0.0,303.51182039268315
1.0,64.0,0.25,0.001,11.915920402854681
5.0,64.0,0.25,0.001,101.47928813286126
10.0,64.0,0.25,0.001,201.80618161382154
15.0,64.0,0.25,0.001,302.2904014880769
5.0,64.0,0.25,0.01,101.79059833381325
10.0,64.0,0.25,0.01,202.27849656669423
15.0,64.0,0.25,0.01,301.53762771887705
5.0,64.0,0.25,0.1,99.83169491030276
10.0,64.0,0.25,0.1,195.31519976211712
1.0,80.0,0.25,0.0,11.705231982748955
5.0,80.0,0.25,0.0,101.11825215769932
10.0,80.0,0.25,0.0,200.80322859901935
15.0,80.0,0.25,0.0,300.44845420867205
1.0,80.0,0.25,0.001,12.051438996102661
5.0,80.0,0.25,0.001,102.10277208033949
10.0,80.0,0.25,0.001,202.52350144740194
15.0,80.0,0.25,0.001,301.8623345163651
1.0,80.0,0.25,0.01,11.650926399976015
5.0,80.0,0.25,0.01,102.14527134783566
10.0,80.0,0.25,0.01,202.8012196221389
15.0,80.0,0.25,0.01,303.5022234469652
5.0,80.0,0.25,0.1,102.44835780002177
10.0,80.0,0.25,0.1,203.2998444638215
1.0,16.0,0.5,0.0,22.62615188676864
