training size,epoch number,learning rate,batch size,training time
0.2,5.0,1e-06,16.0,67.28718111524358
0.2,10.0,1e-06,16.0,133.95083675300702
0.2,15.0,1e-06,16.0,201.3492257562466
0.2,15.0,1e-06,32.0,169.52124117081985
0.2,10.0,1e-06,64.0,104.29341952968389
0.2,15.0,1e-06,64.0,156.55678794486448
0.2,5.0,1e-06,80.0,52.20975769730285
0.2,10.0,1e-06,80.0,103.85978060401976
0.2,15.0,1e-06,80.0,155.34578894404694
0.2,5.0,1e-05,16.0,67.58171517821029
0.2,10.0,1e-05,16.0,134.64568728022277
0.2,15.0,1e-05,16.0,201.72681913431734
0.2,1.0,1e-05,32.0,3.6455943640321493
0.2,5.0,1e-05,32.0,56.97838905407116
0.2,10.0,1e-05,32.0,113.32158231642097
0.2,15.0,1e-05,32.0,169.20349444821477
0.2,1.0,1e-05,64.0,2.862552238162607
0.2,5.0,1e-05,64.0,52.55071431817487
0.2,10.0,1e-05,64.0,104.33072574436665
0.2,15.0,1e-05,64.0,156.34073670115322
0.2,1.0,1e-05,80.0,2.6262437012046576
0.2,5.0,1e-05,80.0,51.37829801812768
0.2,10.0,1e-05,80.0,103.13911824394017
0.2,15.0,1e-05,80.0,154.69907509628683
0.2,1.0,0.0001,16.0,5.2633473593741655
0.2,5.0,0.0001,16.0,67.11843446036801
0.2,10.0,0.0001,16.0,134.3723827940412
0.2,15.0,0.0001,16.0,201.3874236913398
0.2,1.0,0.0001,32.0,3.5795317851006985
0.2,5.0,0.0001,32.0,56.2418130999431
0.2,10.0,0.0001,32.0,111.36286022188142
0.2,15.0,0.0001,32.0,166.06187067599967
0.2,5.0,0.0001,64.0,50.76541647175327
0.2,10.0,0.0001,64.0,101.78597635170445
0.2,15.0,0.0001,64.0,152.87941687367857
0.2,1.0,0.0001,80.0,2.7436401792801917
0.2,5.0,0.0001,80.0,51.456488815136254
0.2,10.0,0.0001,80.0,101.94459767593071
0.2,15.0,0.0001,80.0,152.40574074024335
0.2,1.0,0.001,16.0,5.103608984965831
0.2,5.0,0.001,16.0,65.61700729373842
0.2,10.0,0.001,16.0,130.99730481673032
0.2,15.0,0.001,16.0,197.02247292082757
0.2,1.0,0.001,32.0,3.6271020169369876
0.2,5.0,0.001,32.0,55.827056783717126
0.2,10.0,0.001,32.0,111.14800372999161
0.2,15.0,0.001,32.0,166.4991668188013
0.2,5.0,0.001,64.0,51.46226915391162
0.2,10.0,0.001,64.0,102.37918909499422
0.2,15.0,0.001,64.0,153.4540647789836
0.2,1.0,0.001,80.0,2.622582341078669
0.2,5.0,0.001,80.0,50.34245952498168
0.2,10.0,0.001,80.0,100.96046494087204
0.2,15.0,0.001,80.0,151.38042169297114
0.2,10.0,0.01,16.0,131.75013243826106
0.2,15.0,0.01,16.0,197.00447706738487
0.2,1.0,0.01,32.0,3.399933987762779
0.2,5.0,0.01,32.0,55.19706374499947
0.2,10.0,0.01,32.0,110.44164636172354
0.2,15.0,0.01,32.0,165.88375390786678
0.2,5.0,0.01,80.0,50.553451801184565
0.2,10.0,0.01,80.0,100.85563071304932
0.4,1.0,1e-06,16.0,11.319139027968049
0.4,5.0,1e-06,16.0,96.8054669527337
0.4,10.0,1e-06,16.0,194.3490142710507
0.4,15.0,1e-06,16.0,292.0389818479307
0.4,1.0,1e-06,32.0,7.262848722282797
0.4,5.0,1e-06,32.0,75.77308143489063
0.4,10.0,1e-06,32.0,151.07155465288088
0.4,15.0,1e-06,32.0,226.27999951690435
0.4,5.0,1e-06,64.0,67.04866553191096
0.4,10.0,1e-06,64.0,133.17699435120448
0.4,15.0,1e-06,64.0,200.11652948427945
0.4,1.0,1e-06,80.0,5.557672220747918
0.4,5.0,1e-06,80.0,66.68161941692233
0.4,10.0,1e-06,80.0,132.96479518106207
0.4,15.0,1e-06,80.0,198.85154853202403
0.4,1.0,1e-05,16.0,11.236914185807109
0.4,5.0,1e-05,16.0,97.72384176775813
