training size,learning rate,dropout rate,weight decay,training time
0.2,1e-06,0.25,0.0,3.884153911843896
0.2,1e-06,0.25,0.01,3.6331268032081425
0.2,1e-06,0.25,0.1,3.6078128898516297
0.2,1e-05,0.25,0.0,3.5031654140911996
0.2,1e-05,0.25,0.001,3.5251058991998434
0.2,1e-05,0.25,0.01,3.5329158129170537
0.2,1e-05,0.25,0.1,3.5404833517968655
0.2,0.0001,0.25,0.001,3.4775740117765963
0.2,0.0001,0.25,0.01,3.4630849342793226
0.2,0.0001,0.25,0.1,3.4547206247225404
0.2,0.001,0.25,0.0,3.7975042602047324
0.2,0.001,0.25,0.001,3.6155445827171206
0.2,0.001,0.25,0.1,3.582805739250034
0.2,0.01,0.25,0.001,3.5967466249130666
0.2,1e-06,0.5,0.0,3.473883360158652
0.2,1e-06,0.5,0.01,3.478391333948821
0.2,1e-05,0.5,0.0,3.667971347924322
0.2,1e-05,0.5,0.001,3.4555812403559685
0.2,1e-05,0.5,0.01,3.457804254256189
0.2,1e-05,0.5,0.1,3.455068637151271
0.2,0.0001,0.5,0.0,3.5703415679745376
0.2,0.0001,0.5,0.001,3.560579418204725
0.2,0.0001,0.5,0.01,3.5487560029141605
0.2,0.0001,0.5,0.1,3.542419604025781
0.2,0.001,0.5,0.001,3.6143517522141337
0.2,0.001,0.5,0.01,3.770957955159247
0.2,0.01,0.5,0.0,3.7802563277073205
0.2,0.01,0.5,0.001,3.695475406013429
0.2,0.01,0.5,0.1,3.519929800182581
0.2,1e-06,0.75,0.0,3.6974993948824704
0.2,1e-06,0.75,0.001,3.6572681819088757
0.2,1e-05,0.75,0.0,3.7377151348628104
0.2,1e-05,0.75,0.001,3.615453372243792
0.2,1e-05,0.75,0.01,3.5407149898819625
0.2,1e-05,0.75,0.1,3.6572183831594884
0.2,0.0001,0.75,0.0,3.6550656841136515
0.2,0.0001,0.75,0.001,3.46356858080253
0.2,0.0001,0.75,0.1,3.4699998018331826
0.2,0.001,0.75,0.0,3.6285042641684413
0.2,0.001,0.75,0.001,3.625230077188462
0.2,0.001,0.75,0.01,3.604510346893221
0.2,0.001,0.75,0.1,3.596020611934364
0.2,0.01,0.75,0.0,3.4828655808232725
0.2,0.01,0.75,0.01,3.501244993880391
0.2,1e-05,0.9,0.0,3.6455943640321493
0.2,1e-05,0.9,0.001,3.624886628240347
0.2,1e-05,0.9,0.01,3.6249875728972256
0.2,1e-05,0.9,0.1,3.6216992218978703
0.2,0.0001,0.9,0.0,3.5795317851006985
0.2,0.0001,0.9,0.001,3.557160219643265
0.2,0.0001,0.9,0.01,3.544898862950504
0.2,0.0001,0.9,0.1,3.504893699195236
0.2,0.001,0.9,0.0,3.6271020169369876
0.2,0.001,0.9,0.001,3.4683266798965633
0.2,0.001,0.9,0.01,3.5594447632320225
