training size,epoch number,dropout rate,weight decay,training time
0.2,1.0,0.25,0.0,3.7975042602047324
0.2,5.0,0.25,0.0,56.81877881800756
0.2,10.0,0.25,0.0,113.28809470310807
0.2,15.0,0.25,0.0,169.31315164687112
0.2,1.0,0.25,0.001,3.6155445827171206
0.2,5.0,0.25,0.001,56.811577312648296
0.2,10.0,0.25,0.001,113.26193300588056
0.2,15.0,0.25,0.001,169.48487477190793
0.2,5.0,0.25,0.01,56.93015862815082
0.2,10.0,0.25,0.01,113.07489624898881
0.2,15.0,0.25,0.01,169.52606827113777
0.2,1.0,0.25,0.1,3.582805739250034
0.2,10.0,0.25,0.1,113.17193987639621
0.2,15.0,0.25,0.1,169.65967487124726
0.2,5.0,0.5,0.0,57.33144167298451
0.2,10.0,0.5,0.0,113.74970094300807
0.2,15.0,0.5,0.0,169.98546960903332
0.2,1.0,0.5,0.001,3.6143517522141337
0.2,5.0,0.5,0.001,57.20817802520469
0.2,10.0,0.5,0.001,113.95099679427221
0.2,15.0,0.5,0.001,170.7521177888848
0.2,1.0,0.5,0.01,3.770957955159247
0.2,10.0,0.5,0.01,119.22197994403541
0.2,15.0,0.5,0.01,177.66221066005528
0.2,5.0,0.5,0.1,59.32303911820054
0.2,10.0,0.5,0.1,117.51882059313357
0.2,15.0,0.5,0.1,175.84698132798076
0.2,1.0,0.75,0.0,3.6285042641684413
0.2,5.0,0.75,0.0,57.021059684921056
0.2,10.0,0.75,0.0,113.23363150190562
0.2,15.0,0.75,0.0,169.17758542485535
0.2,1.0,0.75,0.001,3.625230077188462
0.2,5.0,0.75,0.001,56.84373735776171
0.2,10.0,0.75,0.001,113.29815826192498
0.2,15.0,0.75,0.001,169.6674604411237
0.2,1.0,0.75,0.01,3.604510346893221
0.2,10.0,0.75,0.01,113.38658536225557
0.2,1.0,0.75,0.1,3.596020611934364
0.2,10.0,0.75,0.1,113.1544319037348
0.2,1.0,0.9,0.0,3.6271020169369876
0.2,5.0,0.9,0.0,55.827056783717126
0.2,10.0,0.9,0.0,111.14800372999161
0.2,15.0,0.9,0.0,166.4991668188013
0.2,1.0,0.9,0.001,3.4683266798965633
0.2,5.0,0.9,0.001,55.94105844805017
0.2,10.0,0.9,0.001,111.48976820381358
0.2,15.0,0.9,0.001,166.79981029592454
0.2,1.0,0.9,0.01,3.5594447632320225
0.2,5.0,0.9,0.01,55.871425240300596
0.2,10.0,0.9,0.01,111.03428047522902
0.2,15.0,0.9,0.01,166.07253674510866
0.2,1.0,0.9,0.1,3.5940441638231277
0.2,15.0,0.9,0.1,166.0690344311297
0.4,1.0,0.25,0.0,6.804481841158122
0.4,5.0,0.25,0.0,71.45119969220832
0.4,10.0,0.25,0.0,143.0830739652738
0.4,15.0,0.25,0.0,214.58766740793362
0.4,1.0,0.25,0.001,6.943703765980899
0.4,5.0,0.25,0.001,72.08661586605012
0.4,10.0,0.25,0.001,143.4592916984111
0.4,15.0,0.25,0.001,215.04905686015263
0.4,1.0,0.25,0.01,7.165368478279561
0.4,5.0,0.25,0.01,72.45929358201101
0.4,10.0,0.25,0.01,144.02034208830446
0.4,15.0,0.25,0.01,215.7938271970488
0.4,5.0,0.25,0.1,71.57425930118188
0.4,10.0,0.25,0.1,143.3404191643931
0.4,1.0,0.5,0.0,7.181405274197459
0.4,5.0,0.5,0.0,72.32946437504143
0.4,10.0,0.5,0.0,143.94944928400218
0.4,15.0,0.5,0.0,215.59057943196967
0.4,1.0,0.5,0.001,6.841875265352428
0.4,5.0,0.5,0.001,71.88571593724191
0.4,10.0,0.5,0.001,143.84068787517026
0.4,15.0,0.5,0.001,215.48167833220214
0.4,10.0,0.5,0.01,143.13611712725833
0.4,1.0,0.5,0.1,7.213298401795328
0.4,10.0,0.5,0.1,144.37920099822804
0.4,1.0,0.75,0.0,6.885662800166756
0.4,5.0,0.75,0.0,72.19515685131773
0.4,10.0,0.75,0.0,143.95959405926988
0.4,15.0,0.75,0.0,215.6663432829082
0.4,1.0,0.75,0.001,7.112479118164629
0.4,5.0,0.75,0.001,72.76759766694158
0.4,10.0,0.75,0.001,144.81106737814844
0.4,15.0,0.75,0.001,217.53921138029546
0.4,1.0,0.75,0.01,7.108362713828683
0.4,5.0,0.75,0.01,72.46691629197448
0.4,10.0,0.75,0.01,145.54948455374688
0.4,15.0,0.75,0.01,218.66007205983624
0.4,10.0,0.75,0.1,145.56386395497248
0.4,15.0,0.75,0.1,217.1826645140536
0.4,1.0,0.9,0.0,7.4829388447105885
0.4,5.0,0.9,0.0,76.53880951693282
0.4,10.0,0.9,0.0,152.26374346669763
0.4,15.0,0.9,0.0,227.6379670756869
0.4,1.0,0.9,0.001,7.254629123955965
0.4,5.0,0.9,0.001,76.26137926988304
0.4,10.0,0.9,0.001,151.98147286381572
0.4,15.0,0.9,0.001,227.46687642205507
0.4,1.0,0.9,0.01,7.523256511893123
0.4,5.0,0.9,0.01,76.47807793179527
0.4,10.0,0.9,0.01,151.77903343969956
0.4,15.0,0.9,0.01,227.6502033318393
