training size,epoch number,batch size,dropout rate,training time
0.2,1.0,16.0,0.25,5.43719126470387
0.2,5.0,16.0,0.25,67.5390142495744
0.2,10.0,16.0,0.25,134.62221363466233
0.2,15.0,16.0,0.25,202.0275422106497
0.2,1.0,32.0,0.25,3.7975042602047324
0.2,5.0,32.0,0.25,56.81877881800756
0.2,10.0,32.0,0.25,113.28809470310807
0.2,15.0,32.0,0.25,169.31315164687112
0.2,1.0,64.0,0.25,2.8134657773189247
0.2,5.0,64.0,0.25,52.47148596215993
0.2,10.0,64.0,0.25,103.9184809923172
0.2,15.0,64.0,0.25,156.2585724531673
0.2,5.0,80.0,0.25,51.26825867826119
0.2,10.0,80.0,0.25,103.08226394932717
0.2,15.0,80.0,0.25,154.6092596850358
0.2,1.0,16.0,0.5,5.324156216811389
0.2,5.0,16.0,0.5,67.43561715586111
0.2,10.0,16.0,0.5,134.33801300171763
0.2,15.0,16.0,0.5,201.33396299788728
0.2,5.0,32.0,0.5,57.33144167298451
0.2,10.0,32.0,0.5,113.74970094300807
0.2,15.0,32.0,0.5,169.98546960903332
0.2,5.0,64.0,0.5,54.21259156893939
0.2,10.0,64.0,0.5,107.98049124982208
0.2,15.0,64.0,0.5,161.37863619159907
0.2,1.0,80.0,0.5,2.8324468210339546
0.2,5.0,80.0,0.5,53.66404280997813
0.2,10.0,80.0,0.5,106.53560137469321
0.2,15.0,80.0,0.5,159.86069855792448
0.2,1.0,16.0,0.75,5.409159547183663
0.2,5.0,16.0,0.75,67.75449038017541
0.2,10.0,16.0,0.75,134.97436318919063
0.2,15.0,16.0,0.75,202.15780410496518
0.2,1.0,32.0,0.75,3.6285042641684413
0.2,5.0,32.0,0.75,57.021059684921056
0.2,10.0,32.0,0.75,113.23363150190562
0.2,15.0,32.0,0.75,169.17758542485535
0.2,1.0,64.0,0.75,2.8341819290071726
0.2,5.0,64.0,0.75,52.5082294177264
0.2,10.0,64.0,0.75,104.2042092056945
0.2,15.0,64.0,0.75,156.59111892292276
0.2,1.0,80.0,0.75,2.6481973892077804
0.2,5.0,80.0,0.75,51.419616168830544
0.2,10.0,80.0,0.75,103.43680826900527
0.2,15.0,80.0,0.75,155.12624347023666
0.2,1.0,16.0,0.9,5.103608984965831
0.2,5.0,16.0,0.9,65.61700729373842
0.2,10.0,16.0,0.9,130.99730481673032
0.2,15.0,16.0,0.9,197.02247292082757
0.2,1.0,32.0,0.9,3.6271020169369876
0.2,5.0,32.0,0.9,55.827056783717126
0.2,10.0,32.0,0.9,111.14800372999161
0.2,15.0,32.0,0.9,166.4991668188013
0.2,5.0,64.0,0.9,51.46226915391162
0.2,10.0,64.0,0.9,102.37918909499422
0.2,15.0,64.0,0.9,153.4540647789836
0.2,1.0,80.0,0.9,2.622582341078669
0.2,5.0,80.0,0.9,50.34245952498168
0.2,10.0,80.0,0.9,100.96046494087204
0.2,15.0,80.0,0.9,151.38042169297114
0.4,1.0,16.0,0.25,10.677363336086273
0.4,5.0,16.0,0.25,92.05094537325203
0.4,10.0,16.0,0.25,183.2178184390068
0.4,15.0,16.0,0.25,274.7248201072216
0.4,1.0,32.0,0.25,6.804481841158122
0.4,5.0,32.0,0.25,71.45119969220832
0.4,10.0,32.0,0.25,143.0830739652738
0.4,15.0,32.0,0.25,214.58766740793362
0.4,1.0,64.0,0.25,5.456961192656308
0.4,5.0,64.0,0.25,64.06330658076331
0.4,10.0,64.0,0.25,127.16039796592668
0.4,15.0,64.0,0.25,190.20745271071792
0.4,1.0,80.0,0.25,5.404404315166175
0.4,5.0,80.0,0.25,63.34836276015267
0.4,10.0,80.0,0.25,126.1423624609597
0.4,15.0,80.0,0.25,188.90141737600788
0.4,1.0,16.0,0.5,11.68752153031528
0.4,5.0,16.0,0.5,98.20705986814573
0.4,10.0,16.0,0.5,195.36217344924808
0.4,15.0,16.0,0.5,292.44328905129805
0.4,1.0,32.0,0.5,7.181405274197459
0.4,5.0,32.0,0.5,72.32946437504143
0.4,10.0,32.0,0.5,143.94944928400218
0.4,15.0,32.0,0.5,215.59057943196967
0.4,1.0,64.0,0.5,5.425353846978396
0.4,5.0,64.0,0.5,63.81549572199583
0.4,10.0,64.0,0.5,128.06382190762088
0.4,15.0,64.0,0.5,191.57260356284678
0.4,1.0,80.0,0.5,5.325910613872111
0.4,5.0,80.0,0.5,64.30587826995179
0.4,10.0,80.0,0.5,128.8470123987645
0.4,15.0,80.0,0.5,193.39997892314568
0.4,1.0,16.0,0.75,10.833810298703611
0.4,5.0,16.0,0.75,93.07470323890448
0.4,10.0,16.0,0.75,185.18477246072143
0.4,15.0,16.0,0.75,276.81375983776525
0.4,1.0,32.0,0.75,6.885662800166756
0.4,5.0,32.0,0.75,72.19515685131773
0.4,10.0,32.0,0.75,143.95959405926988
0.4,15.0,32.0,0.75,215.6663432829082
0.4,5.0,64.0,0.75,64.97795744799078
0.4,10.0,64.0,0.75,128.79771316004917
0.4,15.0,64.0,0.75,192.8688142588362
0.4,1.0,80.0,0.75,5.479517148807645
0.4,5.0,80.0,0.75,65.85768372891471
0.4,10.0,80.0,0.75,131.82323173992336
0.4,15.0,80.0,0.75,198.41250423900783
0.4,1.0,16.0,0.9,11.397281513083726
0.4,5.0,16.0,0.9,97.6086057247594
0.4,10.0,16.0,0.9,194.27613919088617
0.4,15.0,16.0,0.9,291.1648539449088
0.4,1.0,32.0,0.9,7.4829388447105885
0.4,5.0,32.0,0.9,76.53880951693282
0.4,10.0,32.0,0.9,152.26374346669763
0.4,15.0,32.0,0.9,227.6379670756869
0.4,1.0,64.0,0.9,5.794027025811374
0.4,5.0,64.0,0.9,67.39412686508149
0.4,10.0,64.0,0.9,133.9251909130253
0.4,15.0,64.0,0.9,200.45606344006956
0.4,1.0,80.0,0.9,5.450595655012876
0.4,5.0,80.0,0.9,65.82068841019645
0.4,10.0,80.0,0.9,131.83692238433287
0.4,15.0,80.0,0.9,197.98795751295984
0.6,1.0,16.0,0.25,16.67278959415853
0.6,5.0,16.0,0.25,126.13397612189874
0.6,10.0,16.0,0.25,250.7557856850326
0.6,15.0,16.0,0.25,377.85606957413256
0.6,1.0,32.0,0.25,11.639038193039596
0.6,5.0,32.0,0.25,96.76493627484888
0.6,10.0,32.0,0.25,192.95866675907746
0.6,15.0,32.0,0.25,289.0083151301369
0.6,1.0,64.0,0.25,8.508870305959135
