epoch number,learning rate,dropout rate,weight decay,training time
1.0,1e-06,0.25,0.0,16.72351735411212
5.0,1e-06,0.25,0.0,128.42751727206632
10.0,1e-06,0.25,0.0,253.1397055061534
15.0,1e-06,0.25,0.0,379.5417936537415
1.0,1e-06,0.25,0.001,16.792166483122855
5.0,1e-06,0.25,0.001,127.89976496994495
10.0,1e-06,0.25,0.001,254.32946504512802
15.0,1e-06,0.25,0.001,380.75856226217
1.0,1e-06,0.25,0.01,16.855124596040696
5.0,1e-06,0.25,0.01,127.62929705204442
10.0,1e-06,0.25,0.01,253.5312583479099
15.0,1e-06,0.25,0.01,380.0401344890706
1.0,1e-06,0.25,0.1,16.42764319293201
5.0,1e-06,0.25,0.1,127.35701368097216
10.0,1e-06,0.25,0.1,252.7816424057819
15.0,1e-06,0.25,0.1,378.8318355437368
1.0,1e-05,0.25,0.0,16.35903614992276
5.0,1e-05,0.25,0.0,124.42892532795668
10.0,1e-05,0.25,0.0,247.04264574497938
15.0,1e-05,0.25,0.0,370.1040537827648
1.0,1e-05,0.25,0.001,16.233202951028943
5.0,1e-05,0.25,0.001,123.88517436943948
10.0,1e-05,0.25,0.001,245.71747227432206
15.0,1e-05,0.25,0.001,368.7261422444135
1.0,1e-05,0.25,0.01,16.477149988990277
5.0,1e-05,0.25,0.01,124.61514658294618
10.0,1e-05,0.25,0.01,247.51514773489907
15.0,1e-05,0.25,0.01,370.6056916937232
1.0,1e-05,0.25,0.1,16.09354637004435
5.0,1e-05,0.25,0.1,123.67761565372348
10.0,1e-05,0.25,0.1,246.02711166860536
15.0,1e-05,0.25,0.1,364.74607768282294
1.0,0.0001,0.25,0.0,16.493086010217667
5.0,0.0001,0.25,0.0,124.05991593422368
10.0,0.0001,0.25,0.0,246.31596194813028
15.0,0.0001,0.25,0.0,369.3518352629617
1.0,0.0001,0.25,0.001,16.31031801365316
5.0,0.0001,0.25,0.001,124.16606180090457
10.0,0.0001,0.25,0.001,246.2937446939759
15.0,0.0001,0.25,0.001,368.63393683498725
1.0,0.0001,0.25,0.01,16.27436862466857
5.0,0.0001,0.25,0.01,125.00064194202423
10.0,0.0001,0.25,0.01,247.70488274795935
15.0,0.0001,0.25,0.01,370.89673350472003
1.0,0.0001,0.25,0.1,16.017287734895945
5.0,0.0001,0.25,0.1,124.00915807578713
10.0,0.0001,0.25,0.1,246.24830574309453
15.0,0.0001,0.25,0.1,369.31317792413756
1.0,0.001,0.25,0.0,16.385256104171276
5.0,0.001,0.25,0.0,122.82057186495513
10.0,0.001,0.25,0.0,244.5556056429632
15.0,0.001,0.25,0.0,366.45560131780803
1.0,0.001,0.25,0.001,16.175427093170583
5.0,0.001,0.25,0.001,122.68604240519926
10.0,0.001,0.25,0.001,244.04907805332914
15.0,0.001,0.25,0.001,366.2806447362527
1.0,0.001,0.25,0.01,16.200745474081486
5.0,0.001,0.25,0.01,123.52542807674035
10.0,0.001,0.25,0.01,245.19185537099838
15.0,0.001,0.25,0.01,366.5783660998568
5.0,0.001,0.25,0.1,122.56621519615874
15.0,0.001,0.25,0.1,366.0034992368892
1.0,0.01,0.25,0.0,16.923611376900226
5.0,0.01,0.25,0.0,125.74033504910767
10.0,0.01,0.25,0.0,250.04137392807752
15.0,0.01,0.25,0.0,374.1462219581008
1.0,0.01,0.25,0.001,16.832575818989426
15.0,0.01,0.25,0.001,375.93195137707517
5.0,0.01,0.25,0.01,125.87459471216425
1.0,1e-06,0.5,0.0,16.528366720769554
5.0,1e-06,0.5,0.0,125.61962204379961
10.0,1e-06,0.5,0.0,250.31488387985155
15.0,1e-06,0.5,0.0,374.6783747477457
1.0,1e-06,0.5,0.001,16.503492758143693
5.0,1e-06,0.5,0.001,126.11315802484751
10.0,1e-06,0.5,0.001,250.9614026788622
15.0,1e-06,0.5,0.001,374.67479027295485
1.0,1e-06,0.5,0.01,16.473828269168735
5.0,1e-06,0.5,0.01,125.40151525521651
10.0,1e-06,0.5,0.01,250.6010375819169
15.0,1e-06,0.5,0.01,374.9357217680663
1.0,1e-06,0.5,0.1,16.184453931171447
5.0,1e-06,0.5,0.1,126.56751007121056
10.0,1e-06,0.5,0.1,251.5414201291278
15.0,1e-06,0.5,0.1,375.02158877206966
1.0,1e-05,0.5,0.0,16.920987237710506
5.0,1e-05,0.5,0.0,127.2780495500192
10.0,1e-05,0.5,0.0,253.21361457789317
15.0,1e-05,0.5,0.0,378.7976925210096
1.0,1e-05,0.5,0.001,16.813548790756613
5.0,1e-05,0.5,0.001,126.47935707680881
10.0,1e-05,0.5,0.001,251.42705979198217
15.0,1e-05,0.5,0.001,377.18967616558075
1.0,1e-05,0.5,0.01,16.81437984481454
5.0,1e-05,0.5,0.01,127.87671559909359
10.0,1e-05,0.5,0.01,253.95885968906805
15.0,1e-05,0.5,0.01,379.49237485509366
1.0,1e-05,0.5,0.1,16.475420646369457
5.0,1e-05,0.5,0.1,128.63375517213717
10.0,1e-05,0.5,0.1,253.623712267261
15.0,1e-05,0.5,0.1,379.1522589782253
1.0,0.0001,0.5,0.0,16.76203401805833
5.0,0.0001,0.5,0.0,125.9083111481741
10.0,0.0001,0.5,0.0,249.51820990722626
15.0,0.0001,0.5,0.0,373.66957740904763
1.0,0.0001,0.5,0.001,16.706431854050606
5.0,0.0001,0.5,0.001,126.2288043522276
10.0,0.0001,0.5,0.001,249.97152061527595
15.0,0.0001,0.5,0.001,374.14541125902906
1.0,0.0001,0.5,0.01,16.671089637093246
5.0,0.0001,0.5,0.01,125.80877694906667
10.0,0.0001,0.5,0.01,250.1444941801019
15.0,0.0001,0.5,0.01,374.33187977410853
1.0,0.0001,0.5,0.1,16.183709980919957
5.0,0.0001,0.5,0.1,125.9878963069059
10.0,0.0001,0.5,0.1,249.88560702605173
15.0,0.0001,0.5,0.1,374.418015438132
1.0,0.001,0.5,0.0,14.733984800055623
5.0,0.001,0.5,0.0,110.02507863007486
10.0,0.001,0.5,0.0,219.47084031812847
15.0,0.001,0.5,0.0,328.89593372587115
1.0,0.001,0.5,0.001,14.675108244176954
5.0,0.001,0.5,0.001,110.70699226623401
10.0,0.001,0.5,0.001,220.34013776341453
15.0,0.001,0.5,0.001,329.6268647974357
1.0,0.001,0.5,0.01,15.160656235180795
10.0,0.001,0.5,0.01,220.57136234315112
