epoch number,learning rate,batch size,weight decay,training time
1.0,1e-06,16.0,0.0,23.84359438996762
5.0,1e-06,16.0,0.0,159.86091281985864
10.0,1e-06,16.0,0.0,319.3148438911885
15.0,1e-06,16.0,0.0,477.8686881070025
5.0,1e-06,16.0,0.001,161.41208026511595
10.0,1e-06,16.0,0.001,321.1800631401129
15.0,1e-06,16.0,0.001,481.90504531841725
1.0,1e-06,16.0,0.01,24.29994035512209
5.0,1e-06,16.0,0.01,161.2185927471146
10.0,1e-06,16.0,0.01,321.22954661631957
15.0,1e-06,16.0,0.01,480.28443433810025
1.0,1e-06,16.0,0.1,24.014663100708276
5.0,1e-06,16.0,0.1,160.73130167787895
10.0,1e-06,16.0,0.1,320.0641568945721
15.0,1e-06,16.0,0.1,479.6982391369529
1.0,1e-06,32.0,0.0,15.417008346877992
5.0,1e-06,32.0,0.0,115.08721458213404
10.0,1e-06,32.0,0.0,228.67820423096418
15.0,1e-06,32.0,0.0,341.94335691910237
10.0,1e-06,32.0,0.001,229.39314246177673
15.0,1e-06,32.0,0.001,343.85707089165226
5.0,1e-06,32.0,0.01,115.38485015789047
10.0,1e-06,32.0,0.01,229.3486964609474
15.0,1e-06,32.0,0.01,343.11763654323295
5.0,1e-06,32.0,0.1,115.1703239530325
10.0,1e-06,32.0,0.1,227.4612463270314
15.0,1e-06,32.0,0.1,340.0095918760635
1.0,1e-06,64.0,0.0,11.415211535058916
5.0,1e-06,64.0,0.0,95.29010161478072
10.0,1e-06,64.0,0.0,189.12923780363053
15.0,1e-06,64.0,0.0,283.0135028860532
1.0,1e-06,64.0,0.001,11.597878988832235
5.0,1e-06,64.0,0.001,95.40094750281423
10.0,1e-06,64.0,0.001,189.45771610178053
15.0,1e-06,64.0,0.001,283.22494914988056
1.0,1e-06,64.0,0.01,11.891948938835412
5.0,1e-06,64.0,0.01,95.62858348386362
10.0,1e-06,64.0,0.01,189.50299857882783
15.0,1e-06,64.0,0.01,283.49311656691134
1.0,1e-06,64.0,0.1,11.678419047035277
5.0,1e-06,64.0,0.1,95.35519766109064
10.0,1e-06,64.0,0.1,189.39745751721784
15.0,1e-06,64.0,0.1,284.06250960892066
1.0,1e-06,80.0,0.0,11.094095932785422
5.0,1e-06,80.0,0.0,93.24888801574707
10.0,1e-06,80.0,0.0,186.42001524800435
15.0,1e-06,80.0,0.0,278.99278579093516
1.0,1e-06,80.0,0.001,11.46801777696237
5.0,1e-06,80.0,0.001,94.08418365940452
10.0,1e-06,80.0,0.001,186.63110827235505
15.0,1e-06,80.0,0.001,279.08327191509306
5.0,1e-06,80.0,0.01,94.14834268856794
10.0,1e-06,80.0,0.01,186.7083962657489
15.0,1e-06,80.0,0.01,279.32958507956937
15.0,1e-06,80.0,0.1,279.3821364468895
1.0,1e-05,16.0,0.0,23.143356003798544
5.0,1e-05,16.0,0.0,156.46504104463384
10.0,1e-05,16.0,0.0,312.00516599882394
15.0,1e-05,16.0,0.0,467.254107655026
1.0,1e-05,16.0,0.001,23.804791533388197
5.0,1e-05,16.0,0.001,158.51563449716195
10.0,1e-05,16.0,0.001,314.57081840839237
15.0,1e-05,16.0,0.001,471.206342079211
1.0,1e-05,16.0,0.01,23.80585813196376
5.0,1e-05,16.0,0.01,157.7530726478435
10.0,1e-05,16.0,0.01,314.5321184489876
15.0,1e-05,16.0,0.01,470.49970151577145
1.0,1e-05,16.0,0.1,23.487761745695025
5.0,1e-05,16.0,0.1,157.9252455215901
10.0,1e-05,16.0,0.1,314.2912315707654
15.0,1e-05,16.0,0.1,470.92713446961716
1.0,1e-05,32.0,0.0,15.204137641005218
5.0,1e-05,32.0,0.0,113.06089123804122
10.0,1e-05,32.0,0.0,224.63307885732502
15.0,1e-05,32.0,0.0,336.10339324129745
1.0,1e-05,32.0,0.001,15.287624387070537
5.0,1e-05,32.0,0.001,113.56123066786677
10.0,1e-05,32.0,0.001,225.92487042490393
15.0,1e-05,32.0,0.001,338.5590396616608
1.0,1e-05,32.0,0.01,15.091134287882596
5.0,1e-05,32.0,0.01,113.35298213874921
10.0,1e-05,32.0,0.01,225.54018655512482
15.0,1e-05,32.0,0.01,337.3440576437861
1.0,1e-05,32.0,0.1,15.229561924003065
5.0,1e-05,32.0,0.1,113.44152034725994
10.0,1e-05,32.0,0.1,228.96533303242177
15.0,1e-05,32.0,0.1,350.4014929821715
1.0,1e-05,64.0,0.0,11.917616174090654
5.0,1e-05,64.0,0.0,102.67166191106662
10.0,1e-05,64.0,0.0,202.61392121296376
15.0,1e-05,64.0,0.0,303.23561791703105
1.0,1e-05,64.0,0.001,11.913564343005419
5.0,1e-05,64.0,0.001,102.22227467177436
10.0,1e-05,64.0,0.001,203.50085101183504
15.0,1e-05,64.0,0.001,304.4733322910033
1.0,1e-05,64.0,0.01,11.906246697995812
5.0,1e-05,64.0,0.01,102.295868774876
10.0,1e-05,64.0,0.01,202.7660046792589
15.0,1e-05,64.0,0.01,303.09946203790605
1.0,1e-05,64.0,0.1,12.126573919784278
5.0,1e-05,64.0,0.1,101.50077538378537
10.0,1e-05,64.0,0.1,202.43092347774655
15.0,1e-05,64.0,0.1,302.86755916196853
1.0,1e-05,80.0,0.0,11.91759403469041
5.0,1e-05,80.0,0.0,99.9775435756892
10.0,1e-05,80.0,0.0,198.8773122546263
15.0,1e-05,80.0,0.0,298.3426968380809
